automatic weapon	自動兵器	AW	自動小銃などの総称。「原子兵器」との意も	軍備・兵器	自動小銃などの総称。「原子兵器」との意も	AW	自動兵器	AW	automatic weapon
ballistic missile	弾道ミサイル			軍備・兵器			弾道ミサイル		ballistic missile
bazooka	バズーカ砲			軍備・兵器			バズーカ砲		bazooka
biochemical weapon	生化学兵器			軍備・兵器			生化学兵器		biochemical weapon
biological weapon	生物兵器			軍備・兵器			生物兵器		biological weapon
bioweapon	生物兵器、バイオ兵器			軍備・兵器			生物兵器、バイオ兵器		bioweapon
bulletproof vest	防弾チョッキ			軍備・兵器			防弾チョッキ		bulletproof vest
car bomb	自動車爆弾			軍備・兵器			自動車爆弾		car bomb
cargo plane	輸送機、貨物機			軍備・兵器			輸送機、貨物機		cargo plane
chemical munitions	化学兵器			軍備・兵器			化学兵器		chemical munitions
chemical weapon	化学兵器			軍備・兵器			化学兵器		chemical weapon
clostridium	クロストリジウム属細菌			軍備・兵器			クロストリジウム属細菌		clostridium
cluster bomb	集束爆弾			軍備・兵器			集束爆弾		cluster bomb
combat aircraft	戦闘機			軍備・兵器			戦闘機		combat aircraft
combat helicopter	戦闘ヘリコプター			軍備・兵器			戦闘ヘリコプター		combat helicopter
cruise missile	巡航ミサイル			軍備・兵器			巡航ミサイル		cruise missile
cruiser	巡洋艦			軍備・兵器			巡洋艦		cruiser
defoliant	枯葉剤			軍備・兵器			枯葉剤		defoliant
destroyer	駆逐艦			軍備・兵器			駆逐艦		destroyer
directed energy weapon	指向性エネルギー兵器			軍備・兵器			指向性エネルギー兵器		directed energy weapon
dirty bomb	放射能を帯びた爆弾			軍備・兵器			放射能を帯びた爆弾		dirty bomb
disabling gas	無力化ガス			軍備・兵器			無力化ガス		disabling gas
E-bomb	E爆弾		電磁波を発生させ、電子機器を破壊する	軍備・兵器	電磁波を発生させ、電子機器を破壊する		E爆弾		E-bomb
early-warning satellite	早期警戒衛星			軍備・兵器			早期警戒衛星		early-warning satellite
early-warning system	早期警戒システム			軍備・兵器			早期警戒システム		early-warning system
electronic surveillance plane	電子偵察機			軍備・兵器			電子偵察機		electronic surveillance plane
Fat Man	ファットマン		長崎に投下された原爆の通称	軍備・兵器	長崎に投下された原爆の通称		ファットマン		Fat Man
fertilizer bomb	肥料爆弾			軍備・兵器			肥料爆弾		fertilizer bomb
field gun	野戦砲			軍備・兵器			野戦砲		field gun
fighter jet	ジェット戦闘機			軍備・兵器			ジェット戦闘機		fighter jet
firebomb	焼夷弾			軍備・兵器			焼夷弾		firebomb
fuel-air explosive	気化爆弾			軍備・兵器			気化爆弾		fuel-air explosive
gas mask	ガスマスク			軍備・兵器			ガスマスク		gas mask
grenade	手投げ弾			軍備・兵器			手投げ弾		grenade
ground-based missile	陸上発射ミサイル			軍備・兵器			陸上発射ミサイル		ground-based missile
guided missile destroyer	ミサイル駆逐艦			軍備・兵器			ミサイル駆逐艦		guided missile destroyer
hazard mask	防毒マスク			軍備・兵器			防毒マスク		hazard mask
heavy bomber	重爆撃機			軍備・兵器			重爆撃機		heavy bomber
heavy machine gun	重機関銃			軍備・兵器			重機関銃		heavy machine gun
heavy weapon	重兵器			軍備・兵器			重兵器		heavy weapon
